,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Exterior 1st,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Screen Porch,Misc Val,Yr Sold,SalePrice,is_remodeled,bsmt_cond_dmy,fireplace_qu_dmy,garage_cond_dmy,is_new,is_SBrkr,has_stone_mas_vnr,lot_is_regular,has_slope
209,20,RL,68.253174,11341,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,Hip,Wd Sdng,180.0,TA,TA,CBlock,No,ALQ,Unf,1392.0,TA,Y,1392,1,TA,Mod,Gd,Detchd,528.0,Y,0,0,0,95,0,2010,11.70766954176274,0,0,0,1,0,1,0,0,0
365,80,RL,68.253174,14115,Lvl,Inside,NWAmes,Norm,1Fam,Sep,7,5,Gable,Plywood,225.0,TA,TA,CBlock,Av,GLQ,Unf,1372.0,TA,Y,1472,1,TA,Typ,TA,Attchd,588.0,Y,233,48,0,0,0,2009,12.141534124392603,1,0,0,1,0,1,0,1,0
2119,20,RL,68.0,9450,Bnk,Inside,Edwards,Norm,1Fam,1Story,4,5,Gable,MetalSd,0.0,TA,TA,CBlock,No,LwQ,Unf,894.0,Ex,Y,894,1,TA,Typ,missing,Detchd,400.0,Y,0,0,0,0,0,2007,11.608235644774552,1,0,0,1,0,1,0,1,0
1852,60,RL,68.253174,18450,Lvl,Inside,NAmes,Norm,1Fam,2Story,6,5,Flat,Plywood,113.0,TA,Gd,CBlock,No,LwQ,Rec,1021.0,TA,Y,2380,1,TA,Sev,Po,Other,596.0,Y,0,265,0,0,0,2007,11.76756768334381,0,0,1,1,0,1,0,0,0
2306,60,RL,108.0,13418,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,Gable,VinylSd,132.0,Gd,TA,PConc,Av,Unf,Unf,1117.0,Ex,Y,2452,1,Gd,Typ,Gd,BuiltIn,691.0,Y,113,32,0,0,0,2006,12.641096555879882,0,0,0,1,0,1,1,1,0
1966,50,RM,40.0,5680,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,3,Gable,AsbShng,0.0,TA,TA,CBlock,No,Unf,Unf,969.0,TA,N,1214,1,TA,Typ,missing,Detchd,216.0,N,0,0,77,0,0,2007,11.669929213779893,0,0,0,1,0,0,0,1,0
2332,60,RL,58.0,17104,Lvl,Inside,Gilbert,Norm,1Fam,2Story,7,5,Gable,VinylSd,0.0,Gd,TA,PConc,Av,GLQ,Unf,654.0,Ex,Y,1496,1,Gd,Typ,Gd,Attchd,426.0,Y,100,24,0,0,0,2006,12.09884928474215,1,0,0,1,1,1,0,0,0
865,20,RL,70.0,11767,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,5,Gable,MetalSd,0.0,TA,TA,CBlock,Mn,Rec,Unf,1078.0,TA,Y,1368,1,TA,Min1,missing,Attchd,195.0,Y,0,41,211,0,900,2009,11.695247021764184,1,0,0,1,0,0,0,1,0
2814,160,RM,21.0,1484,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,4,4,Gable,CemntBd,0.0,TA,TA,CBlock,No,Rec,Unf,546.0,TA,Y,1092,1,TA,Typ,missing,Attchd,253.0,Y,0,0,0,0,0,2006,11.282253647235228,1,0,0,0,0,1,0,1,0
271,20,RM,80.0,8546,Lvl,Corner,Edwards,Norm,1Fam,1Story,4,5,Gable,VinylSd,0.0,TA,TA,PConc,No,Unf,Unf,1121.0,Ex,Y,1121,1,TA,Typ,missing,Attchd,440.0,Y,132,64,0,0,0,2010,11.84939770159144,0,0,0,1,0,1,0,1,0
